timesteps,mean_reward,std_reward,mean_steps
5000,19.085209,0.8588977,21.7
10000,389.7117,17.272236,208.9
15000,486.51245,0.6289176,500.0
20000,732.7612,211.49503,271.9
25000,489.1205,0.52401537,500.0
30000,520.5836,4.3138494,500.0
35000,557.30396,0.55406326,500.0
40000,509.3791,8.460148,500.0
45000,478.6774,0.52041256,500.0
50000,389.58267,4.0612087,176.5
55000,882.28564,3.3771307,370.2
60000,518.44104,0.7854795,500.0
65000,420.37567,2.8611698,159.7
70000,123.61031,1.3086337,62.0
75000,699.9557,12.849819,223.8
80000,566.1942,2.7153873,222.8
85000,1377.3922,159.12656,459.6
90000,763.89734,10.220336,270.8
95000,907.4554,11.32452,321.0
100000,1042.2257,225.01628,369.2
