timesteps,mean_reward,std_reward,mean_steps
10000,253.51994,1.0939374,134.7
20000,279.7174,17.474495,183.2
30000,368.9013,20.288822,222.6
40000,499.33716,0.27835605,500.0
50000,323.59955,1.1215016,145.0
60000,550.55774,0.7276995,500.0
70000,559.1853,0.6014474,500.0
80000,394.39835,9.949406,204.9
90000,439.95273,2.406915,166.4
100000,711.4951,17.939075,235.4
110000,471.03574,2.3134637,153.7
120000,448.4026,3.0559938,149.3
130000,614.12463,3.8075533,205.4
140000,566.25305,6.7614145,185.3
150000,504.3225,3.6569579,157.2
160000,278.60602,25.867418,114.9
170000,476.9511,2.789376,152.1
180000,584.61505,6.1406283,176.6
190000,643.0188,2.2891862,196.1
200000,646.93646,2.5257795,198.6
